"Date","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"14:15:00 21/07/2010",40,1,130,1,11.4,1,6.8,1,0.003,1,0.21,1,0.096,1,NA,NA,0.005,1,3,1,8.9,1,7.5,1
"14:20:00 11/07/2016",NA,NA,71,1,10.7,1,6.7,1,0.003,1,0.17,1,0.15,1,NA,NA,0.013,1,NA,NA,11.1,1,10,1
"14:30:00 03/09/2019",NA,NA,77,1,11.03,1,6.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,1,11.9,1
"14:30:00 04/08/2015",40,1,77,1,12.2,1,6.8,1,0.003,1,0.2,1,0.14,1,NA,NA,0.013,1,5,1,12.2,1,8,1
"14:30:00 08/09/2016",NA,NA,78,1,10.3,1,6.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,1,13,1
"14:30:00 08/10/2014",45,1,78,1,10.2,1,6.8,1,0.003,1,0.2,1,0.092,1,NA,NA,0.012,1,2,1,6.9,1,14.3,1
"14:45:00 02/05/2013",50,1,80,1,9.8,1,6.8,1,0.003,1,0.18,1,0.071,1,NA,NA,0.011,1,2,1,6.2,1,12,1
"14:50:00 03/09/2008",30,65,166,65,10.2,65,6.8,65,0.003,65,0.21,65,0.09,65,NA,NA,0.01,65,3,65,6.4,65,10.5,65
"14:50:00 11/05/2011",60,1,90,1,10.5,1,7.1,1,0.003,1,0.32,1,0.13,1,NA,NA,0.011,1,32,1,13.3,1,10,1
"14:55:00 07/04/2009",18,65,59,65,9.6,65,6.9,65,0.003,65,0.17,65,0.01,65,NA,NA,0.01,65,2,65,3,65,15,65
"14:55:00 11/08/2008",36,65,175,65,11.1,65,6.7,65,0.003,65,0.26,65,0.17,65,NA,NA,0.02,65,3,65,10,65,8.5,65
"15:00:00 04/06/2014",45,1,100,1,10.4,1,7.1,1,0.003,1,0.14,1,0.071,1,NA,NA,0.01,1,2,1,7.7,1,12.5,1
"15:10:00 03/09/2014",60,1,80,1,11,1,7,1,0.003,1,0.17,1,0.14,1,NA,NA,0.017,1,4,1,9.1,1,11,1
"15:20:00 10/09/2013",55,1,90,1,10.5,1,7,1,0.003,1,0.22,1,0.18,1,NA,NA,0.014,1,6,1,10.3,1,13.5,1
"15:20:00 20/06/2012",120,1,81,1,11.6,1,7.4,1,0.003,1,0.45,1,0.3,1,NA,NA,0.034,1,12,1,38,1,8.5,1
"15:30:00 11/07/2012",80,1,90,1,11.1,1,7.4,1,0.003,1,0.4,1,0.32,1,NA,NA,0.024,1,4,1,21,1,8.5,1
"15:50:00 05/05/2016",NA,NA,78,1,10,1,6.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,1,13,1
